%time,field.header.seq,field.header.stamp,field.header.frame_id,field.group_mix,field.controls0,field.controls1,field.controls2,field.controls3,field.controls4,field.controls5,field.controls6,field.controls7
48920000000,1970,0,,0,-0.3796999156475067,-0.14981260895729065,0.19896306097507477,1.0,0.0,0.0,0.0,0.0
48922000000,1971,0,,0,0.12812086939811707,0.29851463437080383,-0.11777358502149582,1.0,0.0,0.0,0.0,0.0
48924000000,1972,0,,0,-0.01408706046640873,0.2746662199497223,-0.09142997860908508,1.0,0.0,0.0,0.0,0.0
48926000000,1973,0,,0,-0.16731905937194824,-0.10187943279743195,-0.3604138195514679,1.0,0.0,0.0,0.0,0.0
48928000000,1974,0,,0,-0.02078540250658989,0.07912048697471619,-0.06911542266607285,1.0,0.0,0.0,0.0,0.0
48930000000,1975,0,,0,-0.024790281429886818,-0.26992473006248474,-0.3160445988178253,1.0,0.0,0.0,0.0,0.0
48932000000,1976,0,,0,0.20822158455848694,0.11139185726642609,0.3302549123764038,1.0,0.0,0.0,0.0,0.0
48934000000,1977,0,,0,-0.32018405199050903,-0.3151920735836029,0.1914743334054947,1.0,0.0,0.0,0.0,0.0
48936000000,1978,0,,0,0.2435881495475769,0.10713408887386322,0.0798264667391777,1.0,0.0,0.0,0.0,0.0
48938000000,1979,0,,0,0.35848844051361084,-0.3986663520336151,0.04996686428785324,1.0,0.0,0.0,0.0,0.0
48940000000,1980,0,,0,0.20717960596084595,-0.31661751866340637,-0.04349425435066223,1.0,0.0,0.0,0.0,0.0
48942000000,1981,0,,0,0.15994936227798462,-0.3210422992706299,-0.21355167031288147,1.0,0.0,0.0,0.0,0.0
48944000000,1982,0,,0,-0.29706722497940063,0.22261181473731995,0.016913961619138718,1.0,0.0,0.0,0.0,0.0
48946000000,1983,0,,0,-0.034934114664793015,0.3526934087276459,-0.28305283188819885,1.0,0.0,0.0,0.0,0.0
48948000000,1984,0,,0,-0.3772098124027252,-0.26161181926727295,0.33879584074020386,1.0,0.0,0.0,0.0,0.0
48950000000,1985,0,,0,0.17472852766513824,0.3881675601005554,0.10183300822973251,1.0,0.0,0.0,0.0,0.0
48952000000,1986,0,,0,0.16042299568653107,-0.35407501459121704,-0.08917336910963058,1.0,0.0,0.0,0.0,0.0
48954000000,1987,0,,0,0.397682249546051,-0.14514072239398956,-0.30608928203582764,1.0,0.0,0.0,0.0,0.0
48956000000,1988,0,,0,-0.308275431394577,0.26022905111312866,-0.059453755617141724,1.0,0.0,0.0,0.0,0.0
