%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
11819000000,2986,11819000000,map,0.18713032372244265,0.25292789565917206,-0.05509763983265353,0.0,0.0,0.0,0.0
11821000000,2987,11821000000,map,0.2523977226182653,0.2051301614520531,0.027128139283449204,0.0,0.0,0.0,0.0
11823000000,2988,11823000000,map,-0.3890460342503949,0.14330045995928353,-0.2722694086495161,0.0,0.0,0.0,0.0
11825000000,2989,11825000000,map,-0.09978071898845797,0.015085987080546037,-0.00872838118777125,0.0,0.0,0.0,0.0
11827000000,2990,11827000000,map,-0.06033583998672515,-0.19719963170424049,0.30698740645432854,0.0,0.0,0.0,0.0
11829000000,2991,11829000000,map,-0.1382099713270794,0.19032291292962333,-0.04486172883520728,0.0,0.0,0.0,0.0
11831000000,2992,11831000000,map,-0.34812769829535795,0.12241759304703537,0.01348622606121036,0.0,0.0,0.0,0.0
11833000000,2993,11833000000,map,0.2598549753779026,-0.2709333453276167,0.024532061098785696,0.0,0.0,0.0,0.0
11835000000,2994,11835000000,map,0.28557709118957575,0.18213102577282314,0.08274801870666926,0.0,0.0,0.0,0.0
11837000000,2995,11837000000,map,-0.14334422398924856,-0.2986976131456516,0.03730251702201415,0.0,0.0,0.0,0.0
11839000000,2996,11839000000,map,-0.1877764327560656,0.04264334409816728,0.035429879781550266,0.0,0.0,0.0,0.0
11841000000,2997,11841000000,map,-0.07022172381193559,-0.25826705707306574,-0.3555433482136203,0.0,0.0,0.0,0.0
11843000000,2998,11843000000,map,0.11650763852622514,-0.3442193653723733,0.28379866700246337,0.0,0.0,0.0,0.0
11845000000,2999,11845000000,map,0.15817221777700408,-0.07434711270092842,-0.12997398483189337,0.0,0.0,0.0,0.0
11847000000,3000,11847000000,map,0.3649166074289306,-0.3488805816931849,-0.114723092750672,0.0,0.0,0.0,0.0
11849000000,3001,11849000000,map,0.22574856639521623,-0.2545519957555986,-0.35361215998350926,0.0,0.0,0.0,0.0
11851000000,3002,11851000000,map,-0.26731572185930375,0.03895200316526237,0.34100395213222157,0.0,0.0,0.0,0.0
11853000000,3003,11853000000,map,-0.3232309815765816,-0.0069875985662047335,0.30860959109491215,0.0,0.0,0.0,0.0
11855000000,3004,11855000000,map,0.3110884113534671,-0.054348022734232504,-0.3542916436509392,0.0,0.0,0.0,0.0
11857000000,3005,11857000000,map,0.08776530817635952,-0.1754129420389044,-0.22820868924322213,0.0,0.0,0.0,0.0
11859000000,3006,11859000000,map,-0.09026362973862978,0.19729610533557163,-0.19627572779031258,0.0,0.0,0.0,0.0
11861000000,3007,11861000000,map,-0.37442160112194256,-0.3603216655214965,0.007693765835795674,0.0,0.0,0.0,0.0
11863000000,3008,11863000000,map,0.04415269055955118,-0.22098670627924075,0.19923068628023144,0.0,0.0,0.0,0.0
