%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
325987000000,158929,325987000000,map,-0.1572217784983898,-0.35593267579940174,-0.1635010066707716,0.0,0.0,0.0,0.0
325989000000,158930,325989000000,map,-0.38331784159390675,0.3251167034288618,0.004934988480116254,0.0,0.0,0.0,0.0
325991000000,158931,325991000000,map,-0.23382904951820108,0.350748788134823,0.2098306794952708,0.0,0.0,0.0,0.0
325993000000,158932,325993000000,map,-0.09978970037514046,-0.3193778361220832,0.045037884099358105,0.0,0.0,0.0,0.0
325995000000,158933,325995000000,map,0.29858193547749423,-0.049169748662558466,-0.25302220349458904,0.0,0.0,0.0,0.0
325997000000,158934,325997000000,map,-0.31091007375115454,0.08321333944680226,-0.21792741184194298,0.0,0.0,0.0,0.0
325999000000,158935,325999000000,map,-0.017915141188627692,0.16610705126910286,0.03019817571687433,0.0,0.0,0.0,0.0
326001000000,158936,326001000000,map,-0.1949984296837851,-0.014633611604130126,0.2535386912218134,0.0,0.0,0.0,0.0
326003000000,158937,326003000000,map,0.20128530944432887,-0.236324540280062,-0.03693371707706039,0.0,0.0,0.0,0.0
326005000000,158938,326005000000,map,-0.012361597614741537,0.14916107552697988,0.33521490523066777,0.0,0.0,0.0,0.0
326007000000,158939,326007000000,map,-0.22355370251230644,0.18832617141714636,0.09353104907981802,0.0,0.0,0.0,0.0
326009000000,158940,326009000000,map,0.11093064519786655,-0.26512546330514486,0.19956770272191537,0.0,0.0,0.0,0.0
326011000000,158941,326011000000,map,-0.33264383324223945,0.3025604875658615,0.3150742013277691,0.0,0.0,0.0,0.0
326013000000,158942,326013000000,map,0.03156918549468396,0.10614671485402705,0.24750484675755136,0.0,0.0,0.0,0.0
326015000000,158943,326015000000,map,-0.32663396797251454,-0.03417810010759614,-0.307909802643821,0.0,0.0,0.0,0.0
326017000000,158944,326017000000,map,0.35384354445110366,-0.1125105109507814,0.24455041771005415,0.0,0.0,0.0,0.0
326019000000,158945,326019000000,map,-0.06064021451594448,-0.16301574972472502,0.294721952905855,0.0,0.0,0.0,0.0
326021000000,158946,326021000000,map,-0.26492337769518015,0.20819149865915798,0.3839961592891603,0.0,0.0,0.0,0.0
326023000000,158947,326023000000,map,-0.03527808738282767,0.34026089997026254,-0.22639359800809414,0.0,0.0,0.0,0.0
326025000000,158948,326025000000,map,-0.38408824080624143,0.07043710223990551,-0.3910601050823731,0.0,0.0,0.0,0.0
326027000000,158949,326027000000,map,0.2543198697352922,-0.2400180464593583,-0.11739331785870216,0.0,0.0,0.0,0.0
