%time,field.header.seq,field.header.stamp,field.header.frame_id,field.group_mix,field.controls0,field.controls1,field.controls2,field.controls3,field.controls4,field.controls5,field.controls6,field.controls7
12795000000,3013,0,,0,0.0979892835021019,-0.035165879875421524,-0.19330014288425446,1.0,0.0,0.0,0.0,0.0
12798000000,3014,0,,0,-0.36426839232444763,0.30540409684181213,0.3709319829940796,1.0,0.0,0.0,0.0,0.0
12800000000,3015,0,,0,0.37631574273109436,0.32327327132225037,0.3106224834918976,1.0,0.0,0.0,0.0,0.0
12801000000,3016,0,,0,0.12459216266870499,-0.2561632990837097,0.07449710369110107,1.0,0.0,0.0,0.0,0.0
12803000000,3017,0,,0,0.18166419863700867,-0.12957844138145447,-0.18801914155483246,1.0,0.0,0.0,0.0,0.0
12805000000,3018,0,,0,0.32578980922698975,-0.11604765057563782,0.08397410064935684,1.0,0.0,0.0,0.0,0.0
12807000000,3019,0,,0,-0.07112504541873932,-0.02994108572602272,0.1804741621017456,1.0,0.0,0.0,0.0,0.0
12809000000,3020,0,,0,0.12868018448352814,-0.1607997566461563,0.121744804084301,1.0,0.0,0.0,0.0,0.0
12811000000,3021,0,,0,0.29212573170661926,-0.10966984182596207,-0.3448730707168579,1.0,0.0,0.0,0.0,0.0
12813000000,3022,0,,0,-0.13275335729122162,-0.14867794513702393,-0.01278676837682724,1.0,0.0,0.0,0.0,0.0
12816000000,3023,0,,0,-0.3932863175868988,0.25279250741004944,-0.29016202688217163,1.0,0.0,0.0,0.0,0.0
12818000000,3024,0,,0,0.18577636778354645,0.15716759860515594,-0.33833807706832886,1.0,0.0,0.0,0.0,0.0
12819000000,3025,0,,0,0.14651115238666534,0.39879053831100464,0.0347822904586792,1.0,0.0,0.0,0.0,0.0
12821000000,3026,0,,0,-0.2954922914505005,0.2984301745891571,0.13228455185890198,1.0,0.0,0.0,0.0,0.0
12823000000,3027,0,,0,-0.15052932500839233,0.2328811138868332,-0.38876861333847046,1.0,0.0,0.0,0.0,0.0
12825000000,3028,0,,0,0.06617504358291626,-0.18481697142124176,-0.08005890250205994,1.0,0.0,0.0,0.0,0.0
12827000000,3029,0,,0,-0.29650238156318665,0.28632020950317383,0.30262356996536255,1.0,0.0,0.0,0.0,0.0
12829000000,3030,0,,0,-0.046329472213983536,-0.21446678042411804,0.11369254440069199,1.0,0.0,0.0,0.0,0.0
12831000000,3031,0,,0,-0.2529386281967163,-0.13854990899562836,0.3762543499469757,1.0,0.0,0.0,0.0,0.0
12833000000,3032,0,,0,-0.24122515320777893,0.37454551458358765,-0.2529584765434265,1.0,0.0,0.0,0.0,0.0
12835000000,3033,0,,0,0.12377659976482391,-0.08631469309329987,0.1496787965297699,1.0,0.0,0.0,0.0,0.0
12837000000,3034,0,,0,0.21633309125900269,0.24595527350902557,-0.371445894241333,1.0,0.0,0.0,0.0,0.0
12839000000,3035,0,,0,0.1890709400177002,0.15013013780117035,-0.35123732686042786,1.0,0.0,0.0,0.0,0.0
12841000000,3036,0,,0,0.35656246542930603,-0.35967689752578735,-0.29300469160079956,1.0,0.0,0.0,0.0,0.0
12843000000,3037,0,,0,0.2558456361293793,-0.35463088750839233,-0.04223579913377762,1.0,0.0,0.0,0.0,0.0
12845000000,3038,0,,0,0.34074491262435913,0.18523818254470825,0.2481064647436142,1.0,0.0,0.0,0.0,0.0
12847000000,3039,0,,0,-0.37736350297927856,-0.17265145480632782,-0.10430636256933212,1.0,0.0,0.0,0.0,0.0
12849000000,3040,0,,0,0.275049090385437,-0.17515960335731506,0.1684684455394745,1.0,0.0,0.0,0.0,0.0
12851000000,3041,0,,0,0.12200228869915009,-0.29451683163642883,-0.21696586906909943,1.0,0.0,0.0,0.0,0.0
12853000000,3042,0,,0,-0.29308655858039856,0.33656591176986694,0.3314046263694763,1.0,0.0,0.0,0.0,0.0
12855000000,3043,0,,0,-0.007618740666657686,-0.2491469830274582,0.29624682664871216,1.0,0.0,0.0,0.0,0.0
12857000000,3044,0,,0,0.3874285817146301,0.29002347588539124,-0.3941880762577057,1.0,0.0,0.0,0.0,0.0
